Date,Workout Name,Exercise Name,Set Order,Weight,Weight Unit,Reps,RPE,Distance,Distance Unit,Seconds,Notes,Workout Notes,Workout Duration
2023-04-08 10:13:37,PBS-W2-L2-2023-04-08,Lying Neck Extension (Weighted),1,2,kg,30,,,km,0,,"""""",120m
2023-04-08 10:13:37,PBS-W2-L2-2023-04-08,Lying Neck Extension (Weighted),2,2,kg,24,,,km,0,,"""""",120m
2023-04-08 10:13:37,PBS-W2-L2-2023-04-08,Lying Neck Extension (Weighted),3,2,kg,24,,,km,0,,"""""",120m
2023-12-10 13:04:03,PPL3-Pull2-2023-12-10,Seated Cable Row - Bar Wide Grip,1,1,kg,8,,,km,0,,"""""",45m
2023-12-10 13:04:03,PPL3-Pull2-2023-12-10,Seated Cable Row - Bar Wide Grip,2,70,kg,3,,,km,0,,"""""",45m
2023-12-10 13:04:03,PPL3-Pull2-2023-12-10,Seated Cable Row - Bar Wide Grip,3,70,kg,3,,,km,0,,"""""",45m
2023-12-10 13:04:03,PPL3-Pull2-2023-12-10,Seated Cable Row - Bar Wide Grip,4,70,kg,3,,,km,0,,"""""",45m
2023-12-10 13:04:03,PPL3-Pull2-2023-12-10,Seated Cable Row - Bar Wide Grip,5,70,kg,3,,,km,0,,"""""",45m
2023-12-10 13:04:03,PPL3-Pull2-2023-12-10,Seated Cable Row - Bar Wide Grip,6,70,kg,3,,,km,0,,"""""",45m
2023-12-10 13:04:03,PPL3-Pull2-2023-12-10,Seated Cable Row - Bar Wide Grip,7,70,kg,3,,,km,0,,"""""",45m
2023-08-03 07:39:03,PPL2-Pull2-2023-08-03,Seated Cable Row - V Grip (Cable),1,1,kg,10,,,km,0,,"""""",77m
2023-08-03 07:39:03,PPL2-Pull2-2023-08-03,Seated Cable Row - V Grip (Cable),2,77,kg,6,,,km,0,,"""""",77m
2023-08-03 07:39:03,PPL2-Pull2-2023-08-03,Seated Cable Row - V Grip (Cable),3,77,kg,7,,,km,0,,"""""",77m
2023-08-18 10:43:07,PPL3-Push2-2023-08-18,Single Arm Lateral Raise (Cable),1,1,kg,14,,,km,0,,"""""",104m
2023-08-18 10:43:07,PPL3-Push2-2023-08-18,Single Arm Lateral Raise (Cable),2,10,kg,20,,,km,0,,"""""",104m
2023-08-18 10:43:07,PPL3-Push2-2023-08-18,Single Arm Lateral Raise (Cable),3,10,kg,15,,,km,0,,"""""",104m
2023-08-18 10:43:07,PPL3-Push2-2023-08-18,Single Arm Lateral Raise (Cable),4,10,kg,35,,,km,0,,"""""",104m
2023-09-07 08:28:06,PPL1-Legs1-2023-09-07,Walking Lunge (Dumbbell),1,1,kg,15,,,km,0,,"""""",97m
2023-09-07 08:28:06,PPL1-Legs1-2023-09-07,Walking Lunge (Dumbbell),2,35,kg,10,,,km,0,,"""""",97m
2023-09-07 08:28:06,PPL1-Legs1-2023-09-07,Walking Lunge (Dumbbell),3,35,kg,10,,,km,0,,"""""",97m
